CNAE,TOTAL
"0121101","2484"
"0121102","1"
"0133499","1"
"0159801","3504"
"0159802","6466"
"0161002","6581"
"0161003","48289"
"0161099","1"
"0162802","321"
"0230600","1"
"0321304","719"
"0322101","1"
"0322104","2062"
"0600003","1"
"0810006","1"
"0892401","164"
"0899199","1"
"1013901","5521"
"1031700","7296"
"1032501","1"
"1032599","1714"
"1033301","1894"
"1033302","2609"
"1052000","4907"
"1053800","3"
"1061902","211"
"1063500","1462"
"1064300","475"
"1065101","645"
"1066000","1"
"1069400","471"
"1071600","575"
"1081302","1"
"1091101","43721"
"1091102","155897"
"1092900","6799"
"1093701","9646"
"1093702","1794"
"1094500","20667"
"1095300","3988"
"1096100","27782"
"1099601","146"
"1099604","2584"
"1099605","673"
"1099699","822"
"1121600","1"
"1122403","343"
"1220402","1"
"1220499","545"
"1311100","155"
"1312000","158"
"1321900","265"
"1322700","870"
"1330800","1"
"1340501","12316"
"1340599","20122"
"1351100","5711"
"1352900","8291"
"1353700","308"
"1354500","1"
"1359600","38329"
"1411801","7741"
"1411802","4633"
"1412601","131349"
"1412602","106585"
"1412603","41093"
"1413401","2"
"1413403","6770"
"1414200","1399"
"1421500","167"
"1422300","11188"
"1510600","235"
"1521100","6042"
"1529700","6680"
"1531901","5608"
"1531902","5809"
"1532700","1"
"1539400","6751"
"1540800","2374"
"1622602","2"
"1622699","21667"
"1623400","993"
"1629301","22852"
"1629302","3430"
"1721400","330"
"1731100","1883"
"1732000","1088"
"1741902","1"
"1742799","105"
"1749400","20184"
"1811302","1"
"1813001","17110"
"1813099","19388"
"1821100","24642"
"1822901","3596"
"1830001","2"
"1830002","1"
"2063100","1"
"2219600","3034"
"2229399","3879"
"2319200","1605"
"2330301","2"
"2330302","4"
"2330399","12170"
"2342702","865"
"2349499","6769"
"2391501","1154"
"2391503","13374"
"2399101","3339"
"2452100","1"
"2511000","1"
"2512800","17279"
"2532201","5487"
"2539001","53435"
"2539002","1414"
"2541100","976"
"2542000","91232"
"2543800","6473"
"2593400","1"
"2599301","13796"
"2599302","1"
"2599399","6067"
"2740602","797"
"2950600","3580"
"3101200","106072"
"3102100","1300"
"3103900","5015"
"3104700","605"
"3211601","1122"
"3211602","2097"
"3211603","47"
"3212400","27742"
"3220500","1014"
"3230200","1001"
"3240099","2377"
"3250706","2"
"3291400","1684"
"3292202","972"
"3299001","101"
"3299002","989"
"3299003","7947"
"3299004","3087"
"3299005","1080"
"3299006","3590"
"3299099","93263"
"3311200","3374"
"3312102","1"
"3312103","1"
"3313901","7755"
"3313902","352"
"3313999","5846"
"3314701","1726"
"3314702","7392"
"3314706","2157"
"3314707","21081"
"3314708","1"
"3314709","626"
"3314710","5211"
"3314711","9935"
"3314712","2823"
"3314713","2"
"3314718","1"
"3314719","3574"
"3314720","3573"
"3314799","3913"
"3317101","1"
"3317102","3323"
"3319800","6011"
"3321000","36936"
"3329501","48836"
"3329599","2"
"3600602","2500"
"3702900","2290"
"3811400","16100"
"3831901","8937"
"3831999","5165"
"3832700","7408"
"3839499","5302"
"4110700","2"
"4120400","24"
"4292801","3"
"4299501","1"
"4299599","2"
"4312600","1"
"4313400","2"
"4321500","276366"
"4322301","31120"
"4322302","79758"
"4322303","4956"
"4329101","8152"
"4329102","571"
"4329103","2362"
"4329104","2257"
"4329105","2704"
"4330401","2"
"4330402","16756"
"4330403","45272"
"4330404","209234"
"4330405","34567"
"4330499","30491"
"4391600","1"
"4399101","2"
"4399102","1"
"4399103","691753"
"4399105","3094"
"4399199","22080"
"4511101","1"
"4511102","10"
"4511103","1"
"4512901","1"
"4512902","1"
"4520001","180783"
"4520002","80713"
"4520003","30421"
"4520005","108031"
"4520006","42890"
"4520007","43519"
"4520008","3848"
"4530701","3"
"4530703","81871"
"4530704","15905"
"4530705","4988"
"4541201","1"
"4541206","49012"
"4541207","3156"
"4542101","1"
"4543900","45572"
"4611700","1"
"4612500","2"
"4613300","3"
"4616800","1"
"4617600","7"
"4618401","4"
"4618499","1"
"4619200","9"
"4621400","1"
"4631100","2"
"4632001","1"
"4632003","1"
"4634603","1"
"4635401","3"
"4635499","3"
"4637101","1"
"4637104","1"
"4637106","2"
"4637107","1"
"4637199","2"
"4639701","2"
"4642701","2"
"4642702","2"
"4645101","1"
"4646001","3"
"4647801","1"
"4649401","1"
"4649402","2"
"4649410","1"
"4649499","2"
"4651601","1"
"4651602","1"
"4652400","1"
"4669999","2"
"4684201","1"
"4685100","1"
"4687701","1"
"4687703","2"
"4689399","2"
"4693100","1"
"4711301","6"
"4711302","12"
"4712100","305184"
"4713002","47525"
"4713004","11"
"4721102","57686"
"4721103","30480"
"4721104","17586"
"4722901","40774"
"4722902","15628"
"4723700","288899"
"4724500","114764"
"4729601","17526"
"4729602","3"
"4729699","134762"
"4731800","1"
"4732600","4029"
"4741500","4734"
"4742300","16896"
"4743100","16353"
"4744001","23848"
"4744002","8414"
"4744003","4134"
"4744004","8102"
"4744005","3"
"4744006","1"
"4744099","86171"
"4751201","71609"
"4751202","2417"
"4752100","64408"
"4753900","37283"
"4754701","30405"
"4754702","15283"
"4754703","4566"
"4755501","7649"
"4755502","96119"
"4755503","70585"
"4756300","4268"
"4757100","28041"
"4759801","11034"
"4759899","31365"
"4761001","8338"
"4761002","5574"
"4761003","23624"
"4762800","3456"
"4763601","23368"
"4763602","22863"
"4763603","19522"
"4763604","8602"
"4771701","4"
"4771704","2"
"4772500","199226"
"4773300","11869"
"4774100","25497"
"4781400","977426"
"4782201","56116"
"4782202","4114"
"4783101","39205"
"4783102","7080"
"4784900","4"
"4785701","1467"
"4785799","21217"
"4789001","64423"
"4789002","24958"
"4789003","7734"
"4789004","82978"
"4789005","41656"
"4789007","6842"
"4789008","8055"
"4789099","107046"
"4921301","1"
"4923001","95990"
"4923002","1"
"4924800","53671"
"4929901","82874"
"4929902","29937"
"4929903","1609"
"4929999","98"
"4930201","355962"
"4930202","142335"
"4930203","1527"
"4930204","29584"
"5011401","791"
"5021101","1070"
"5021102","1"
"5091201","798"
"5091202","973"
"5099801","3147"
"5099899","2430"
"5211702","1691"
"5212500","36336"
"5223100","13025"
"5229002","13300"
"5229099","258347"
"5250801","1"
"5310502","1984"
"5320201","114784"
"5320202","252308"
"5510801","15"
"5590601","1379"
"5590602","1334"
"5590603","5790"
"5590699","22775"
"5611201","289040"
"5611203","371753"
"5611204","157752"
"5611205","74714"
"5612100","250787"
"5620101","34421"
"5620102","50127"
"5620103","9556"
"5620104","421850"
"5811500","20607"
"5812300","213"
"5812301","19432"
"5812302","14101"
"5813100","16437"
"5819100","92332"
"5822101","1"
"5911199","6"
"5912001","1823"
"5912002","1"
"5912099","83649"
"5913800","1"
"5920100","1"
"6010100","1"
"6110803","2"
"6190601","2"
"6190699","28935"
"6201501","8"
"6203100","2"
"6204000","4"
"6209100","2"
"6319400","12"
"6391700","1"
"6399200","9115"
"6462000","1"
"6463800","1"
"6612605","1"
"6619302","2"
"6619399","2"
"6622300","1"
"6810202","1"
"6821801","11"
"6822600","5"
"6920601","14"
"7020400","14"
"7111100","4"
"7112000","21"
"7119701","1"
"7119703","1"
"7119799","1"
"7120100","2"
"7210000","1"
"7311400","3"
"7319002","682635"
"7319003","16"
