CNAE,TOTAL
"0121101","503"
"0159801","695"
"0159802","1586"
"0161002","1380"
"0161003","9555"
"0162802","44"
"0321304","58"
"0322104","356"
"0810006","1"
"0892401","2"
"1013901","919"
"1031700","888"
"1032599","411"
"1033301","250"
"1033302","467"
"1052000","614"
"1061902","16"
"1063500","75"
"1064300","43"
"1065101","63"
"1069400","71"
"1071600","55"
"1091101","8372"
"1091102","44751"
"1092900","1113"
"1093701","3363"
"1093702","436"
"1094500","4154"
"1095300","698"
"1096100","6144"
"1099601","25"
"1099604","418"
"1099605","116"
"1099699","180"
"1122403","59"
"1220499","103"
"1311100","30"
"1312000","18"
"1321900","42"
"1322700","182"
"1340501","3925"
"1340599","5809"
"1351100","1394"
"1352900","3957"
"1353700","81"
"1359600","10169"
"1411801","1103"
"1411802","512"
"1412601","39423"
"1412602","26546"
"1412603","6252"
"1413403","1267"
"1414200","337"
"1421500","72"
"1422300","2772"
"1510600","42"
"1521100","1515"
"1529700","1279"
"1531901","806"
"1531902","2429"
"1539400","897"
"1540800","590"
"1622699","4217"
"1623400","215"
"1629301","5848"
"1629302","718"
"1721400","109"
"1731100","473"
"1732000","300"
"1742799","31"
"1749400","5388"
"1813001","4216"
"1813099","4557"
"1821100","7868"
"1822901","968"
"2219600","684"
"2229399","1251"
"2319200","432"
"2330302","1"
"2330399","2275"
"2342702","125"
"2349499","1709"
"2391501","72"
"2391503","3193"
"2399101","990"
"2512800","2479"
"2532201","1164"
"2539001","13456"
"2539002","456"
"2541100","165"
"2542000","22673"
"2543800","2724"
"2599301","2983"
"2599399","1506"
"2740602","300"
"2950600","813"
"3101200","25893"
"3102100","248"
"3103900","895"
"3104700","187"
"3211601","146"
"3211602","504"
"3211603","17"
"3212400","6640"
"3220500","295"
"3230200","271"
"3240099","795"
"3250706","1"
"3291400","213"
"3292202","215"
"3299001","29"
"3299002","242"
"3299003","1562"
"3299004","668"
"3299005","271"
"3299006","1200"
"3299099","24748"
"3311200","1269"
"3313901","1889"
"3313902","105"
"3313999","1723"
"3314701","603"
"3314702","2603"
"3314706","769"
"3314707","4401"
"3314709","175"
"3314710","1708"
"3314711","1584"
"3314712","414"
"3314713","1"
"3314718","1"
"3314719","1308"
"3314720","976"
"3314799","1348"
"3317102","1286"
"3319800","1746"
"3321000","13843"
"3329501","13892"
"3600602","284"
"3702900","630"
"3811400","3636"
"3831901","2475"
"3831999","1433"
"3832700","2598"
"3839499","1517"
"4120400","2"
"4313400","1"
"4321500","78264"
"4322301","9005"
"4322302","17328"
"4322303","1774"
"4329101","2676"
"4329102","94"
"4329103","735"
"4329104","691"
"4329105","803"
"4330402","4168"
"4330403","12201"
"4330404","61147"
"4330405","10901"
"4330499","7865"
"4399103","173968"
"4399105","385"
"4399199","7796"
"4512902","1"
"4520001","45741"
"4520002","21822"
"4520003","6902"
"4520005","26059"
"4520006","8826"
"4520007","12612"
"4520008","225"
"4530703","20550"
"4530704","4081"
"4530705","956"
"4541206","5390"
"4541207","601"
"4543900","8549"
"4637106","1"
"4642701","1"
"4642702","1"
"4651601","1"
"4687701","1"
"4687703","1"
"4689399","2"
"4711302","1"
"4712100","47756"
"4713002","12965"
"4713004","7"
"4721102","13095"
"4721103","5763"
"4721104","4822"
"4722901","5147"
"4722902","1905"
"4723700","71449"
"4724500","25487"
"4729601","6184"
"4729602","1"
"4729699","29817"
"4732600","935"
"4741500","1301"
"4742300","4221"
"4743100","3281"
"4744001","6203"
"4744002","2146"
"4744003","1153"
"4744004","1516"
"4744099","15255"
"4751201","18611"
"4751202","530"
"4752100","14472"
"4753900","11269"
"4754701","7242"
"4754702","2855"
"4754703","1756"
"4755501","2103"
"4755502","21574"
"4755503","15326"
"4756300","1361"
"4757100","8105"
"4759801","3236"
"4759899","9127"
"4761001","2089"
"4761002","1932"
"4761003","5736"
"4762800","1034"
"4763601","7252"
"4763602","5974"
"4763603","3829"
"4763604","2413"
"4772500","44513"
"4773300","3067"
"4774100","4170"
"4781400","240227"
"4782201","13740"
"4782202","1197"
"4783101","10253"
"4783102","1575"
"4785701","444"
"4785799","6789"
"4789001","19099"
"4789002","6057"
"4789003","2296"
"4789004","21469"
"4789005","11918"
"4789007","1794"
"4789008","2512"
"4789099","29532"
"4923001","12801"
"4924800","13270"
"4929901","24845"
"4929902","6087"
"4929903","346"
"4929999","52"
"4930201","147778"
"4930202","45049"
"4930203","535"
"4930204","8735"
"5011401","231"
"5021101","408"
"5091201","102"
"5091202","137"
"5099801","526"
"5099899","311"
"5211702","669"
"5212500","11319"
"5223100","5191"
"5229002","3976"
"5229099","76672"
"5310502","536"
"5320201","40840"
"5320202","98286"
"5510801","4"
"5590601","233"
"5590602","169"
"5590603","768"
"5590699","3440"
"5611201","72908"
"5611203","89005"
"5611204","39415"
"5611205","17125"
"5612100","71888"
"5620101","8626"
"5620102","12147"
"5620103","3294"
"5620104","125825"
"5811500","8278"
"5812300","72"
"5812301","5427"
"5812302","4733"
"5813100","7100"
"5819100","30318"
"5911199","1"
"5912001","933"
"5912099","29054"
"5913800","1"
"6190699","9275"
"6319400","1"
"6391700","1"
"6399200","2941"
"6619302","1"
"6622300","1"
"7319002","193394"
"7319099","2813"
"7410202","5"
"7410299","1"
"7420001","28359"
"7420002","952"
"7420003","471"
"7420004","5484"
"7490102","198"
"7490199","1"
"7711000","1"
"7719599","379"
"7721700","3387"
"7722500","282"
"7723300","990"
"7729201","378"
"7729202","4828"
"7729203","148"
"7729299","79"
"7731400","436"
"7732201","1779"
"7732202","375"
"7733100","302"
"7739002","326"
"7739003","859"
"7739099","1643"
"7911200","14481"
"7912100","2258"
"7990200","1587"
"8011102","700"
"8020002","2305"
"8111700","2"
"8129000","6958"
"8130300","27191"
"8211300","7"
"8219901","1983"
"8219999","166806"
"8230001","67873"
"8230002","4480"
"8291100","14989"
"8292000","1158"
"8299703","134"
"8299707","2127"
"8299799","4432"
"8532500","1"
"8592901","1"
"8592902","2103"
"8592903","5947"
"8592999","22363"
"8593700","8569"
"8599603","13086"
"8599604","54752"
"8599605","7976"
"8599699","91526"
"8690904","1"
"8712300","56917"
"9001901","5037"
"9001902","20718"
"9001906","8964"
"9002701","1"
"9002702","657"
"9311500","1"
"9329803","166"
"9329804","210"
"9329899","5030"
"9511800","46733"
"9512600","16433"
"9521500","9355"
"9529101","1453"
"9529102","5429"
"9529103","540"
"9529104","1783"
"9529105","4882"
"9529106","1323"
"9529199","3964"
"9601701","3842"
"9601702","115"
"9601703","609"
"9602501","290293"
"9602502","97424"
"9603304","530"
"9609202","583"
"9609206","12006"
"9609207","2926"
"9609208","20617"
"9609299","10134"
"9700500","87047"
