MUNICIPIO,CNAE,TOTAL
"ADAMANTINA","9700500","45"
"ADAMANTINA","9609299","4"
"ADAMANTINA","9609208","6"
"ADAMANTINA","9609207","1"
"ADAMANTINA","9609206","5"
"ADAMANTINA","9602502","75"
"ADAMANTINA","9602501","150"
"ADAMANTINA","9601701","4"
"ADAMANTINA","9529199","4"
"ADAMANTINA","9529105","1"
"ADAMANTINA","9529102","2"
"ADAMANTINA","9529101","2"
"ADAMANTINA","9521500","9"
"ADAMANTINA","9512600","4"
"ADAMANTINA","9511800","17"
"ADAMANTINA","9002702","1"
"ADAMANTINA","9001906","4"
"ADAMANTINA","9001902","8"
"ADAMANTINA","8712300","28"
"ADAMANTINA","8599699","47"
"ADAMANTINA","8599605","3"
"ADAMANTINA","8599604","10"
"ADAMANTINA","8599603","3"
"ADAMANTINA","8593700","1"
"ADAMANTINA","8592999","9"
"ADAMANTINA","8592903","10"
"ADAMANTINA","8299799","1"
"ADAMANTINA","8299703","1"
"ADAMANTINA","8291100","4"
"ADAMANTINA","8230002","5"
"ADAMANTINA","8230001","9"
"ADAMANTINA","8219999","55"
"ADAMANTINA","8219901","1"
"ADAMANTINA","8130300","16"
"ADAMANTINA","8129000","8"
"ADAMANTINA","8020002","1"
"ADAMANTINA","7911200","7"
"ADAMANTINA","7739099","2"
"ADAMANTINA","7739003","1"
"ADAMANTINA","7739002","1"
"ADAMANTINA","7732201","1"
"ADAMANTINA","7729202","4"
"ADAMANTINA","7723300","3"
"ADAMANTINA","7721700","6"
"ADAMANTINA","7420004","4"
"ADAMANTINA","7420002","3"
"ADAMANTINA","7420001","19"
"ADAMANTINA","7319099","2"
"ADAMANTINA","7319002","85"
"ADAMANTINA","5912099","8"
"ADAMANTINA","5819100","13"
"ADAMANTINA","5813100","2"
"ADAMANTINA","5812302","3"
"ADAMANTINA","5812301","3"
"ADAMANTINA","5811500","3"
"ADAMANTINA","5620104","65"
"ADAMANTINA","5620103","3"
"ADAMANTINA","5620102","3"
"ADAMANTINA","5620101","2"
"ADAMANTINA","5612100","68"
"ADAMANTINA","5611205","13"
"ADAMANTINA","5611204","33"
"ADAMANTINA","5611203","50"
"ADAMANTINA","5611201","19"
"ADAMANTINA","5590699","2"
"ADAMANTINA","5320202","23"
"ADAMANTINA","5320201","8"
"ADAMANTINA","5229099","5"
"ADAMANTINA","5229002","2"
"ADAMANTINA","5223100","2"
"ADAMANTINA","5212500","2"
"ADAMANTINA","5211702","1"
"ADAMANTINA","4930204","1"
"ADAMANTINA","4930202","15"
"ADAMANTINA","4930201","23"
