CODIGO_CNAE,DESCRICAO_CNAE,TOTAL,TOTAL_MASCULINO,TOTAL_FEMININO
"0121101","Horticultura, exceto morango","503","313","190"
"0159801","Apicultura","695","496","199"
"0159802","Criação de animais de estimação","1586","782","804"
"0161002","Serviço de poda de árvores para lavouras","1380","1129","251"
"0161003","Serviço de preparação de terreno, cultivo e colheita","9555","7838","1717"
"0162802","Serviço de tosquiamento de ovinos","44","36","8"
"0321304","Criação de peixes ornamentais em água salgada e salobra","58","46","12"
"0322104","Criação de peixes ornamentais em água doce","356","251","105"
"0810006","Extração de areia, cascalho ou pedregulho e beneficiamento associado","1","1","0"
"0892401","Extração de sal marinho","2","2","0"
"1013901","Fabricação de produtos de carne","919","556","363"
"1031700","Fabricação de conservas de frutas","888","378","510"
"1032599","Fabricação de conservas de legumes e outros vegetais, exceto palmito","411","201","210"
"1033301","Fabricação de sucos concentrados de frutas, hortaliças e legumes","250","128","122"
"1033302","Fabricação de sucos de frutas, hortaliças e legumes, exceto concentrados","467","246","221"
"1052000","Fabricação de laticínios","614","331","283"
"1061902","Fabricação de produtos do arroz","16","6","10"
"1063500","Fabricação de farinha de mandioca e derivados","75","42","33"
"1064300","Fabricação de farinha de milho e derivados, exceto óleos de milho","43","23","20"
"1065101","Fabricação de amidos e féculas de vegetais","63","27","36"
"1069400","Moagem e fabricação de produtos de origem vegetal não especificados anteriormente","71","55","16"
"1071600","Fabricação de açúcar em bruto","55","34","21"
"1091101","Fabricação de produtos de panificação industrial","8372","4950","3422"
"1091102","Fabricação de produtos de padaria e confeitaria com predominância de produção própria","44751","6400","38351"
"1092900","Fabricação de biscoitos e bolachas","1113","304","809"
"1093701","Fabricação de produtos derivados do cacau e de chocolates","3363","657","2706"
"1093702","Fabricação de frutas cristalizadas, balas e semelhantes","436","133","303"
"1094500","Fabricação de massas alimentícias","4154","1760","2394"
"1095300","Fabricação de especiarias, molhos, temperos e condimentos","698","332","366"
"1096100","Fabricação de alimentos e pratos prontos","6144","2225","3919"
"1099601","Fabricação de vinagres","25","11","14"
"1099604","Fabricação de gelo comum","418","272","146"
"1099605","Fabricação de produtos para infusão (chá, mate, etc.)","116","37","79"
"1099699","Fabricação de outros produtos alimentícios não especificados anteriormente","180","86","94"
"1122403","Fabricação de refrescos, xaropes e pós para refrescos, exceto refrescos de frutas","59","28","31"
"1220499","Fabricação de outros produtos do fumo, exceto cigarros, cigarrilhas e charutos","103","64","39"
"1311100","Preparação e fiação de fibras de algodão","30","18","12"
"1312000","Preparação e fiação de fibras têxteis naturais, exceto algodão","18","9","9"
"1321900","Tecelagem de fios de algodão","42","23","19"
"1322700","Tecelagem de fios de fibras têxteis naturais, exceto algodão","182","103","79"
"1340501","Estamparia e texturização em fios, tecidos, artefatos têxteis e peças do vestuário","3925","2040","1885"
"1340599","Outros serviços de acabamento em fios, tecidos, artefatos têxteis e peças do vestuário","5809","1171","4638"
"1351100","Fabricação de artefatos têxteis para uso doméstico","1394","477","917"
"1352900","Fabricação de artefatos de tapeçaria","3957","3218","739"
"1353700","Fabricação de artefatos de cordoaria","81","61","20"
"1359600","Fabricação de outros produtos têxteis não especificados anteriormente","10169","798","9371"
"1411801","Confecção de roupas íntimas","1103","191","912"
"1411802","Facção de roupas íntimas","512","122","390"
"1412601","Confecção de peças do vestuário, exceto roupas íntimas e as confeccionadas sob medida","39423","8405","31018"
"1412602","Confecção, sob medida, de peças do vestuário, exceto roupas íntimas","26546","3921","22625"
"1412603","Facção de peças do vestuário, exceto roupas íntimas","6252","2470","3782"
"1413403","Facção de roupas profissionais","1267","576","691"
"1414200","Fabricação de acessórios do vestuário, exceto para segurança e proteção","337","213","124"
"1421500","Fabricação de meias","72","48","24"
"1422300","Fabricação de artigos do vestuário, produzidos em malharias e tricotagens, exceto meias","2772","88","2684"
"1510600","Curtimento e outras preparações de couro","42","29","13"
"1521100","Fabricação de artigos para viagem, bolsas e semelhantes de qualquer material","1515","594","921"
"1529700","Fabricação de artefatos de couro não especificados anteriormente","1279","773","506"
"1531901","Fabricação de calçados de couro","806","453","353"
"1531902","Acabamento de calçados de couro sob contrato","2429","1218","1211"
"1539400","Fabricação de calçados de materiais não especificados anteriormente","897","455","442"
"1540800","Fabricação de partes para calçados, de qualquer material","590","263","327"
"1622699","Fabricação de outros artigos de carpintaria para construção","4217","4034","183"
"1623400","Fabricação de artefatos de tanoaria e de embalagens de madeira","215","146","69"
"1629301","Fabricação de artefatos diversos de madeira, exceto móveis","5848","2990","2858"
"1629302","Fabricação de artefatos diversos de cortiça, bambu, palha, vime e outros materiais trançados, exceto móveis","718","340","378"
"1721400","Fabricação de papel","109","69","40"
"1731100","Fabricação de embalagens de papel","473","238","235"
"1732000","Fabricação de embalagens de cartolina e papel-cartão","300","136","164"
"1742799","Fabricação de produtos de papel para uso doméstico e higiênico-sanitário não especificados anteriormente","31","15","16"
"1749400","Fabricação de produtos de pastas celulósicas, papel, cartolina, papel-cartão e papelão ondulado não especificados anteriormente","5388","856","4532"
"1813001","Impressão de material para uso publicitário","4216","2564","1652"
"1813099","Impressão de material para outros usos","4557","2735","1822"
"1821100","Serviços de pré-impressão","7868","4676","3192"
"1822901","Serviços de encadernação e plastificação","968","424","544"
"2219600","Fabricação de artefatos de borracha não especificados anteriormente","684","241","443"
"2229399","Fabricação de artefatos de material plástico para outros usos não especificados anteriormente","1251","717","534"
"2319200","Fabricação de artigos de vidro","432","227","205"
"2330302","Fabricação de artefatos de cimento para uso na construção","1","1","0"
"2330399","Fabricação de outros artefatos e produtos de concreto, cimento, fibrocimento, gesso e materiais semelhantes","2275","1459","816"
"2342702","Fabricação de artefatos de cerâmica e barro cozido para uso na construção, exceto azulejos e pisos","125","99","26"
"2349499","Fabricação de produtos cerâmicos não-refratários não especificados anteriormente","1709","640","1069"
"2391501","Britamento de pedras, exceto associado à extração","72","65","7"
"2391503","Aparelhamento de placas e execução de trabalhos em mármore, granito, ardósia e outras pedras","3193","2707","486"
"2399101","Decoração, lapidação, gravação, vitrificação e outros trabalhos em cerâmica, louça, vidro e cristal","990","287","703"
"2512800","Fabricação de esquadrias de metal","2479","2090","389"
"2532201","Produção de artefatos estampados de metal","1164","926","238"
"2539001","Serviços de usinagem, tornearia e solda ","13456","12182","1274"
"2539002","Serviços de tratamento e revestimento em metais","456","376","80"
"2541100","Fabricação de artigos de cutelaria","165","139","26"
"2542000","Fabricação de artigos de serralheria, exceto esquadrias","22673","20044","2629"
"2543800","Fabricação de ferramentas","2724","2502","222"
"2599301","Serviços de confecção de armações metálicas para a construção","2983","2756","227"
"2599399","Fabricação de outros produtos de metal não especificados anteriormente","1506","1084","422"
"2740602","Fabricação de luminárias e outros equipamentos de iluminação","300","192","108"
"2950600","Recondicionamento e recuperação de motores para veículos automotores","813","693","120"
